sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
B1	49	44	89.8	28	28	57.14	28	57.14
B2	467	438	93.79	427	427	91.43	427	91.43
B3	442	428	96.83	421	416	94.12	416	94.12
B4	5792	5474	94.51	5419	5348	92.33	5348	92.33
B5	1922	1808	94.07	1796	1782	92.72	1782	92.72
C02_3_0-15	26814	25034	93.36	23231	20761	77.43	20761	77.43
C02_3_15-30	25209	23354	92.64	21937	20192	80.1	20192	80.1
C02_3_30-60	3485	3245	93.11	3104	2896	83.1	2896	83.1
C02_3_60-100	20807	18680	89.78	18525	18292	87.91	18292	87.91
C02_4_0-15_REDO	29822	27874	93.47	25425	22109	74.14	21998	73.76
C02_4_15-30_REDO	37409	34973	93.49	33066	30732	82.15	30632	81.88
C02_4_30-60_REDO	1794	1666	92.87	1516	1435	79.99	1435	79.99
C02_4_60-100_REDO	1636	1166	71.27	1116	1050	64.18	1050	64.18
C02_5_0-15_REDO	3151	2933	93.08	2211	1644	52.17	1644	52.17
C02_5_15-30_REDO	47278	43900	92.86	41760	38556	81.55	38278	80.96
C02_5_30-60_REDO	24090	22580	93.73	21429	20224	83.95	20224	83.95
C02_5_60-100_REDO	22605	21176	93.68	20611	19880	87.95	19880	87.95
C02_7_0-15_REDO	19441	18112	93.16	16310	14147	72.77	14144	72.75
C02_7_15-30	1419	1332	93.87	1067	887	62.51	887	62.51
C02_7_30-60	27307	25243	92.44	24006	22404	82.04	22404	82.04
C02_7_60-100	2965	2772	93.49	2410	2069	69.78	2069	69.78
C02_9_0-15	22608	21075	93.22	18825	16121	71.31	16116	71.28
C02_9_15-30	31667	29534	93.26	28051	26249	82.89	26234	82.84
C02_9_30-60	16043	14973	93.33	14683	14367	89.55	14367	89.55
C02_9_60-100_REDO	7300	6945	95.14	6899	6878	94.22	6878	94.22
C03_1_0-15	39838	37205	93.39	34727	30753	77.2	30647	76.93
C03_1_15-30	8427	7706	91.44	7221	6688	79.36	6688	79.36
C03_1_30-60	20172	18448	91.45	17936	17191	85.22	17191	85.22
C03_1_60-100	16034	14717	91.79	14654	14515	90.53	14515	90.53
C03_2_0-15	32989	30545	92.59	28107	23998	72.75	23984	72.7
C03_2_15-30	33507	30965	92.41	29357	27336	81.58	27239	81.29
C03_2_30-60	21321	19915	93.41	19350	18542	86.97	18482	86.68
C03_2_60-100	3546	3304	93.18	3203	3100	87.42	3100	87.42
C03_4_0-15	26922	24827	92.22	23116	20903	77.64	20879	77.55
C03_4_15-30	8858	8317	93.89	7710	7186	81.12	7186	81.12
C03_4_30-60	30391	28390	93.42	27407	26060	85.75	26060	85.75
C03_4_60-100	15093	14166	93.86	13763	13311	88.19	13244	87.75
C03_5_0-15	27428	25605	93.35	23641	21143	77.09	21143	77.09
C03_5_15-30	57460	53647	93.36	51680	47973	83.49	47585	82.81
C03_5_30-60	27481	25600	93.16	24666	23266	84.66	22814	83.02
C03_5_60-100	5656	5294	93.6	5050	4865	86.01	4865	86.01
C03_9_0-15	36860	33416	90.66	31381	28140	76.34	28076	76.17
C03_9_15-30	33052	30693	92.86	28869	26481	80.12	26427	79.96
C03_9_30-60	14100	13094	92.87	12725	12358	87.65	12358	87.65
C03_9_60-100	4869	4524	92.91	4484	4381	89.98	4342	89.18
C10_1_0-15	37224	34903	93.76	32088	28761	77.26	28732	77.19
C10_1_15-30	31213	29134	93.34	27205	25215	80.78	25207	80.76
C10_1_30-60	36667	33720	91.96	32819	31552	86.05	31532	86
C10_1_60-100	26366	24652	93.5	23928	22942	87.01	22830	86.59
C10_2_0-15	31340	29402	93.82	26736	23281	74.29	23281	74.29
C10_2_15-30	26817	24818	92.55	22806	20272	75.59	20241	75.48
C10_2_30-60	46286	42991	92.88	40258	36752	79.4	36693	79.27
C10_2_60-100	42706	39697	92.95	38170	36327	85.06	36088	84.5
C10_4_0-15	24099	22050	91.5	20106	17441	72.37	17441	72.37
C10_4_15-30	22287	20354	91.33	19079	17454	78.31	17452	78.31
C10_4_30-60_REDO	16994	15455	90.94	14702	13938	82.02	13909	81.85
C10_4_60-100	20561	18469	89.83	17218	15828	76.98	15508	75.42
C10_6_0-15	36565	33966	92.89	30761	26409	72.22	26365	72.1
C10_6_15-30	22867	21357	93.4	19560	17488	76.48	17486	76.47
C10_6_30-60	18672	17143	91.81	16533	15564	83.35	15556	83.31
C10_6_60-100	14736	13677	92.81	13567	13010	88.29	13010	88.29
C10_9_0-15	39802	37091	93.19	33976	29522	74.17	29326	73.68
C10_9_15-30	41672	38632	92.7	37424	35353	84.84	35323	84.76
C10_9_30-60	26326	24314	92.36	22791	21103	80.16	21103	80.16
C10_9_60-100	28254	25931	91.78	24937	23491	83.14	23417	82.88
C20_1_0-15	30927	28816	93.17	26837	23711	76.67	23614	76.35
C20_1_15-30	24138	22623	93.72	21251	19183	79.47	19183	79.47
C20_1_30-60	19016	17622	92.67	17235	16765	88.16	16580	87.19
C20_1_60-100	21216	19983	94.19	19864	19742	93.05	19689	92.8
C20_2_0-15	35089	32741	93.31	30366	26976	76.88	26900	76.66
C20_2_15-30	32315	30569	94.6	28803	26428	81.78	26288	81.35
C20_2_30-60	26549	24703	93.05	23360	21924	82.58	21916	82.55
C20_2_60-100_REDO	13794	12991	94.18	12844	12695	92.03	12695	92.03
C20_3_0-15	17970	16699	92.93	15047	13196	73.43	13196	73.43
C20_3_15-30	31416	29160	92.82	27545	25422	80.92	25410	80.88
C20_3_30-60	33138	31347	94.6	30542	29371	88.63	29229	88.2
C20_3_60-100	23767	22158	93.23	21516	20661	86.93	20387	85.78
C20_7_0-15	57930	54259	93.66	50854	46018	79.44	45739	78.96
C20_7_15-30	34915	32767	93.85	30873	28168	80.68	28119	80.54
C20_7_30-60	32906	30531	92.78	29861	28782	87.47	28716	87.27
C20_7_60-100	3946	3595	91.1	3464	3305	83.76	3305	83.76
C20_8_0-15	33147	31204	94.14	29448	26722	80.62	26646	80.39
C20_8_15-30	27502	25725	93.54	24384	22486	81.76	22486	81.76
C20_8_30-60	12267	11551	94.16	11428	11266	91.84	11266	91.84
C20_8_60-100	18327	17058	93.08	16919	16588	90.51	16588	90.51
NTC	1281	1206	94.15	1205	1205	94.07	1205	94.07
Q03_1_0-15	59665	55418	92.88	52983	49175	82.42	48934	82.01
Q03_1_15-30	43785	40749	93.07	38793	36119	82.49	35882	81.95
Q03_1_30-60	12099	11477	94.86	10876	10327	85.35	10272	84.9
Q03_1_60-100	10586	9864	93.18	9681	9544	90.16	9544	90.16
Q03_2_0-15	9274	8594	92.67	7694	6593	71.09	6591	71.07
Q03_2_15-30	44459	40098	90.19	39246	37849	85.13	37824	85.08
Q03_2_30-60	64057	58940	92.01	57656	55519	86.67	54148	84.53
Q03_2_60-100	5515	5168	93.71	5096	5016	90.95	5016	90.95
Q03_3_0-15	49818	45896	92.13	43942	40911	82.12	40702	81.7
Q03_3_15-30	19202	17708	92.22	16622	15316	79.76	15261	79.48
Q03_3_30-60	1892	1759	92.97	1665	1535	81.13	1535	81.13
Q03_3_60-100	12017	11265	93.74	11097	10969	91.28	10922	90.89
R02_2_0-15	43571	41347	94.9	38807	35373	81.18	35276	80.96
R02_2_15-30	75322	69523	92.3	67328	63654	84.51	63231	83.95
R02_2_30-60	4411	4050	91.82	3969	3877	87.89	3877	87.89
R02_2_60-100	4169	3894	93.4	3233	2622	62.89	2622	62.89
R02_4_0-15	59481	55061	92.57	52231	47480	79.82	47267	79.47
R02_4_15-30	37287	34653	92.94	33249	31560	84.64	30954	83.02
R02_4_30-60_REDO	25492	23820	93.44	23707	23272	91.29	23099	90.61
R02_4_60-100_REDO	17344	15275	88.07	15032	14763	85.12	14741	84.99
R02_5_0-15	22718	21292	93.72	19491	17168	75.57	17100	75.27
R02_5_15-30	23970	22493	93.84	20875	18400	76.76	18400	76.76
R02_5_30-60	35778	33493	93.61	31518	28673	80.14	28633	80.03
R02_5_60-100	31696	29563	93.27	28639	27127	85.58	27093	85.48
R02_7_0-15	54213	50642	93.41	47390	42480	78.36	42350	78.12
R02_7_15-30	35952	33775	93.94	31573	28553	79.42	28474	79.2
R02_7_30-60	6072	5733	94.42	4915	4255	70.08	4252	70.03
R02_7_60-100	25888	24394	94.23	24162	23716	91.61	23374	90.29
R02_8_0-15	35312	33323	94.37	30636	26674	75.54	26666	75.52
R02_8_15-30	31222	29092	93.18	27515	24923	79.83	24840	79.56
R02_8_30-60	18980	17547	92.45	16957	16213	85.42	16213	85.42
R02_8_60-100	16408	15526	94.62	15385	15087	91.95	15087	91.95
R03_2_0-15	44369	41407	93.32	38980	34938	78.74	34723	78.26
R03_2_15-30	33620	31425	93.47	30099	28185	83.83	28050	83.43
R03_2_30-60	29772	27891	93.68	26685	24997	83.96	24978	83.9
R03_2_60-100	19558	18359	93.87	18105	17717	90.59	17717	90.59
R03_9_0-15	36346	33866	93.18	31694	28879	79.46	28757	79.12
R03_9_15-30	18097	16958	93.71	15588	14054	77.66	13991	77.31
R03_9_30-60	46530	43963	94.48	42599	40892	87.88	40394	86.81
R03_9_60-100_REDO	19963	18940	94.88	18823	18477	92.56	18428	92.31
R10_1_0-15	72416	67826	93.66	64487	59365	81.98	59023	81.51
R10_1_15-30	20216	18948	93.73	17525	15582	77.08	15582	77.08
R10_1_30-60	51682	48046	92.96	45785	42051	81.36	41907	81.09
R10_1_60-100	27551	24130	87.58	22516	20375	73.95	19848	72.04
R10_2_0-15	35854	33265	92.78	30246	26154	72.95	26152	72.94
R10_2_15-30	38301	35773	93.4	33181	30104	78.6	30044	78.44
R10_2_30-60_REDO	24470	22925	93.69	21790	20106	82.17	20103	82.15
R10_2_60-100_REDO	4432	4027	90.86	3801	3437	77.55	3437	77.55
R10_4_0-15	26460	24286	91.78	21690	18825	71.15	18816	71.11
R10_4_15-30	43068	39977	92.82	37395	33778	78.43	33770	78.41
R10_4_30-60	60778	57037	93.84	54023	50195	82.59	50125	82.47
R10_4_60-100	18790	17662	94	17420	17124	91.13	17124	91.13
R10_5_0-15	51484	47793	92.83	44268	39393	76.52	39252	76.24
R10_5_15-30	27098	25733	94.96	23893	22050	81.37	21999	81.18
R10_5_30-60	45008	41659	92.56	40048	38122	84.7	38056	84.55
R10_5_60-100	22120	20516	92.75	20317	19927	90.09	19927	90.09
R10_6_0-15	51793	48066	92.8	45345	41441	80.01	41201	79.55
R10_6_15-30	45444	42230	92.93	39482	36091	79.42	36030	79.28
R10_8_0-15	50010	46296	92.57	43460	39359	78.7	39139	78.26
R10_8_15-30	10426	9823	94.22	8344	7095	68.05	7095	68.05
R10_8_30-60	62270	58015	93.17	55041	51032	81.95	50715	81.44
R10_8_60-100	27472	24456	89.02	23120	21251	77.36	21114	76.86
R20_1_0-15	29779	27873	93.6	25626	22290	74.85	22285	74.83
R20_1_15-30	47990	45344	94.49	43292	40168	83.7	39860	83.06
R20_1_30-60	19742	18585	94.14	17703	16507	83.61	16507	83.61
R20_1_60-100	25366	24017	94.68	23611	22968	90.55	22803	89.9
R20_2_0-15	55889	52080	93.18	49229	44731	80.04	44594	79.79
R20_2_15-30_REDO	21587	20314	94.1	19234	17953	83.17	17953	83.17
R20_2_30-60_REDO	15486	14756	95.29	14498	14050	90.73	14050	90.73
R20_2_60-100	12262	11331	92.41	11110	10665	86.98	10538	85.94
R20_3_0-15	30116	28323	94.05	26252	23496	78.02	23469	77.93
R20_3_15-30_REDO	43106	40447	93.83	38582	35916	83.32	35827	83.11
R20_3_30-60_REDO	32907	31187	94.77	30902	30496	92.67	30351	92.23
R20_3_60-100_REDO	14799	13972	94.41	13825	13698	92.56	13698	92.56
R20_4_0-15	34858	32480	93.18	30040	26458	75.9	26409	75.76
R20_4_15-30	24398	22986	94.21	21449	19251	78.9	19100	78.29
R20_4_30-60_REDO	36365	34130	93.85	32532	30555	84.02	30117	82.82
R20_4_60-100	18473	17271	93.49	16902	16347	88.49	16345	88.48
R20_8_0-15	6295	5960	94.68	5168	4376	69.52	4374	69.48
R20_8_15-30	59751	56378	94.35	53645	48377	80.96	47971	80.28
R20_8_30-60	57607	54621	94.82	52196	48588	84.34	48270	83.79
R20_8_60-100	55057	51337	93.24	49584	47458	86.2	47078	85.51
